"","repno","usingObserved","treeType","scale","counted","wincount.1","wincount.2","wincount.3","wincount.4","wincount.5","wincount.6","wincount.7","wincount.8","wincount.9","wincount.10"
"284",2,TRUE,"dirichlet",0.100000001490116,800,0,0,0,0,0,500,0,0,0,0
"285",2,FALSE,"dirichlet",1,800,43,59,48,57,30,55,54,56,49,49
"286",2,TRUE,"dirichlet",1,800,0,0,0,0,0,500,0,0,0,0
"287",2,FALSE,"dirichlet",10,800,50,52,51,52,35,49,57,56,52,46
"288",2,TRUE,"dirichlet",10,800,0,0,0,0,0,500,0,0,0,0
"289",2,FALSE,"dtree",0.00999999977648258,900,0,0,2,0,0,493,0,5,0,0
"290",2,TRUE,"dtree",0.00999999977648258,900,0,0,0,0,0,500,0,0,0,0
"291",2,FALSE,"dtree",0.100000001490116,900,0,0,0,0,0,499,0,1,0,0
"292",2,TRUE,"dtree",0.100000001490116,900,0,0,0,0,0,500,0,0,0,0
"293",2,FALSE,"dtree",1,900,0,0,0,0,0,499,0,1,0,0
"294",2,TRUE,"dtree",1,900,0,0,0,0,0,500,0,0,0,0
"295",2,FALSE,"dtree",10,900,0,0,1,0,0,498,0,1,0,0
"296",2,TRUE,"dtree",10,900,0,0,0,0,0,500,0,0,0,0
"297",2,FALSE,"dirichlet",0.00999999977648258,900,51,31,49,51,45,49,47,57,60,60
"298",2,TRUE,"dirichlet",0.00999999977648258,900,0,0,0,0,0,500,0,0,0,0
"299",2,FALSE,"dirichlet",0.100000001490116,900,49,47,47,53,47,50,62,46,49,50
"300",2,TRUE,"dirichlet",0.100000001490116,900,0,0,0,0,0,500,0,0,0,0
"301",2,FALSE,"dirichlet",1,900,44,47,48,61,51,55,44,52,50,48
"302",2,TRUE,"dirichlet",1,900,0,0,0,0,0,500,0,0,0,0
"303",2,FALSE,"dirichlet",10,900,49,50,43,63,45,46,58,50,43,53
"304",2,TRUE,"dirichlet",10,900,0,0,0,0,0,500,0,0,0,0
"305",2,FALSE,"dtree",0.00999999977648258,1000,0,0,1,0,0,498,0,0,1,0
"306",2,TRUE,"dtree",0.00999999977648258,1000,0,0,0,0,0,500,0,0,0,0
"307",2,FALSE,"dtree",0.100000001490116,1000,0,0,1,0,0,499,0,0,0,0
"308",2,TRUE,"dtree",0.100000001490116,1000,0,0,0,0,0,500,0,0,0,0
"309",2,FALSE,"dtree",1,1000,0,0,1,0,0,497,0,1,1,0
"310",2,TRUE,"dtree",1,1000,0,0,0,0,0,500,0,0,0,0
"311",2,FALSE,"dtree",10,1000,0,0,0,0,0,500,0,0,0,0
"312",2,TRUE,"dtree",10,1000,0,0,0,0,0,500,0,0,0,0
"313",2,FALSE,"dirichlet",0.00999999977648258,1000,48,54,57,45,50,46,51,48,35,66
