"","repno","usingObserved","treeType","scale","counted","wincount.1","wincount.2","wincount.3","wincount.4","wincount.5","wincount.6","wincount.7","wincount.8","wincount.9","wincount.10"
"218",2,TRUE,"dirichlet",0.100000001490116,400,0,0,3,0,0,92,0,1,4,0
"219",2,FALSE,"dirichlet",1,400,9,13,12,5,16,8,11,5,13,8
"220",2,TRUE,"dirichlet",1,400,0,0,2,0,0,97,0,0,1,0
"221",2,FALSE,"dirichlet",10,400,17,6,10,7,13,9,8,12,7,11
"222",2,TRUE,"dirichlet",10,400,0,0,0,0,0,89,0,1,10,0
"223",2,FALSE,"dirichlet",100,400,10,12,18,8,9,11,7,11,10,4
"224",2,TRUE,"dirichlet",100,400,0,0,0,0,0,94,0,0,6,0
"225",2,FALSE,"dtree",0.100000001490116,500,0,0,1,1,0,94,0,0,4,0
"226",2,TRUE,"dtree",0.100000001490116,500,0,0,0,0,0,100,0,0,0,0
"227",2,FALSE,"dtree",1,500,0,0,1,0,0,96,0,1,2,0
"228",2,TRUE,"dtree",1,500,0,0,0,0,0,100,0,0,0,0
"229",2,FALSE,"dtree",10,500,0,0,1,0,0,96,0,1,2,0
"230",2,TRUE,"dtree",10,500,0,0,0,0,0,100,0,0,0,0
"231",2,FALSE,"dtree",100,500,0,0,7,4,0,76,0,5,8,0
"232",2,TRUE,"dtree",100,500,0,0,0,0,0,100,0,0,0,0
"233",2,FALSE,"dirichlet",0.100000001490116,500,12,9,10,7,7,7,11,14,9,14
"234",2,TRUE,"dirichlet",0.100000001490116,500,0,0,0,0,0,99,0,0,1,0
"235",2,FALSE,"dirichlet",1,500,9,6,15,8,8,11,5,13,14,11
"236",2,TRUE,"dirichlet",1,500,0,0,0,0,0,100,0,0,0,0
"237",2,FALSE,"dirichlet",10,500,7,9,5,11,5,12,15,12,8,16
"238",2,TRUE,"dirichlet",10,500,0,0,0,0,0,99,0,0,1,0
"239",2,FALSE,"dirichlet",100,500,8,5,11,13,10,8,11,14,10,10
"240",2,TRUE,"dirichlet",100,500,0,0,0,0,0,100,0,0,0,0
"241",2,FALSE,"dtree",0.100000001490116,600,0,0,0,0,0,98,0,1,1,0
"242",2,TRUE,"dtree",0.100000001490116,600,0,0,0,0,0,100,0,0,0,0
"243",2,FALSE,"dtree",1,600,0,0,1,0,0,99,0,0,0,0
"244",2,TRUE,"dtree",1,600,0,0,0,0,0,100,0,0,0,0
"245",2,FALSE,"dtree",10,600,0,0,0,0,0,100,0,0,0,0
"246",2,TRUE,"dtree",10,600,0,0,0,0,0,100,0,0,0,0
"247",2,FALSE,"dtree",100,600,0,0,6,2,1,79,0,6,4,2
"248",2,TRUE,"dtree",100,600,0,0,0,0,0,100,0,0,0,0
"249",2,FALSE,"dirichlet",0.100000001490116,600,10,11,10,7,12,14,11,7,7,11
"250",2,TRUE,"dirichlet",0.100000001490116,600,0,0,0,0,0,100,0,0,0,0
"251",2,FALSE,"dirichlet",1,600,9,8,9,14,10,10,10,7,10,13
"252",2,TRUE,"dirichlet",1,600,0,0,0,0,0,100,0,0,0,0
"253",2,FALSE,"dirichlet",10,600,5,8,8,17,7,8,17,9,12,9
"254",2,TRUE,"dirichlet",10,600,0,0,0,0,0,100,0,0,0,0
"255",2,FALSE,"dirichlet",100,600,8,8,11,8,4,13,9,7,16,16
"256",2,TRUE,"dirichlet",100,600,0,0,0,0,0,100,0,0,0,0
"257",2,FALSE,"dtree",0.100000001490116,700,0,0,0,0,0,100,0,0,0,0
"258",2,TRUE,"dtree",0.100000001490116,700,0,0,0,0,0,100,0,0,0,0
"259",2,FALSE,"dtree",1,700,0,0,0,0,0,100,0,0,0,0
"260",2,TRUE,"dtree",1,700,0,0,0,0,0,100,0,0,0,0
